benefactorClass,benefactorName,benefactorType,benefactorAddress,benefactorPostcode,benefactorCompanyNumber,recipientClass,recipientName,ecReference,type,value,referenceNumber,rate,status,amountRepaid,amountConverted,amountOutstanding,startDate,endDate,repaidDate,ecLastNotifiedDate,recordedBy
Individual,Professor Sir Christopher Evans,Individual,,,,Party,Labour Party,Political Party,AL0036653,Loan,100000000,,6.75%,Ended,100000000,,,2005-05-31,2007-04-05,2007-04-05,2006-03-31,
Individual,Lord Sainsbury,Individual,,,,Party,Labour Party,Political Party,AL0036672,Loan,200000000,,Base rate plus 2% variable,Ended,,200000000,,2005-04-18,2008-07-31,2008-07-31,2006-03-31,
Individual,Gulam Noon,Individual,,,,Party,Labour Party,Political Party,AL0036674,Loan,25000000,,6.50%,Ended,,25000000,,2005-04-20,2008-07-31,2008-07-31,2006-03-31,
Individual,Gordon Crawford,Individual,,,,Party,Labour Party,Political Party,AL0036677,Loan,50000000,,Base plus 2% on first day of interest period,Ended,50000000,,,2005-04-13,2009-07-03,2009-07-03,2006-03-31,
Individual,Andrew Rosenfeld,Individual,,,,Party,Labour Party,Political Party,AL0036678,Loan,100000000,,Base plus 2% on first day of interest period,Ended,100000000,,,2005-05-18,2009-07-03,2009-07-03,2006-03-31,
Organisation,Bank of Scotland (HBOS),Company,The Mound,EH1 1YZ,SC001111,Party,Liberal Democrats,Political Party,AL0036699,Credit Facility,1000000,,Base + 3.00%,Outstanding,,,1000000,2005-05-20,2007-03-26,,2006-04-30,Edinburgh South
Individual,Sue Tritton,Individual,,,,Party,Liberal Democrats,Political Party,AL0036700,Loan,200000,,Nil,Ended,200000,,,2005-05-25,2007-03-26,2007-03-26,2006-04-30,Edinburgh South
Individual,The Reverend and Mrs J Leech,Individual,,,,Party,Liberal Democrats,Political Party,AL0036707,Loan,440000,,Nil,Ended,440000,,,2005-12-12,2007-12-31,2007-12-31,2006-04-30,Manchester Withington
Individual,Mark Valladares,Individual,,,,Party,Liberal Democrats,Political Party,AL0036708,Loan,241600,,Nil,Ended,241600,,,2005-08-01,2007-12-31,2007-12-31,2006-04-30,Dulwich & West Norwood
Organisation,Leicester Print,Unincorporated Association,c/o 7 Wimbourne Road,LE2 3RD,,Party,Liberal Democrats,Political Party,AL0036719,Loan,331500,,Nil,Ended,331500,,,2005-06-07,2006-12-31,2006-12-31,2006-04-30,Harborough
Individual,Sue Henchley,Individual,,,,Party,Liberal Democrats,Political Party,AL0036720,Loan,600000,,Nil,Ended,550000,50000,,2005-05-12,2006-12-31,2006-12-31,2006-04-30,Forest Of Dean
Organisation,Royal Bank of Scotland,Company,34 St Andrews Square,EH2 2XB,SC090312,Party,Liberal Democrats,Political Party,AL0036723,Credit Facility,300000,,12.50%,Ended,300000,,,2005-08-01,2007-01-31,2007-01-31,2006-04-30,
Individual,John Drage,Individual,,,,Party,Liberal Democrats,Political Party,AL0036731,Loan,360000,,Nil,Ended,360000,001,,2005-06-01,2008-05-01,2008-05-01,2006-04-30,Sutton Borough
Individual,Lord Alliance,Individual,,,,Party,Liberal Democrats,Political Party,AL0036739,Loan,25000000,,Nil,Ended,,25000000,,2005-03-10,2009-06-30,2009-06-30,2006-04-30,
Organisation,HSBC Bank,Company,8 Canada Square,E14 5HQ,14259,Party,Plaid Cymru - The Party of Wales,Political Party,AL0036751,Loan,5200000,,Base + 1.75%,Ended,5200000,,,2005-07-08,2008-09-23,2008-09-23,2006-03-31,
Individual,Clive Searle,Individual,,,,Party,The Respect Party,Political Party,AL0036761,Loan,640015,,Nil,Ended,640015,,,2005-04-05,2008-12-30,2008-12-30,2006-03-31,
Organisation,Charles Robertson (Developments) Ltd,Company,23 Devon Square,TQ12 2HU,629619,Party,UK Independence Party (UKIP),Political Party,AL0036776,Loan,960000,,5%,Ended,960000,,,2005-12-16,2008-05-02,2008-05-02,2006-03-31,
Individual,Derek Clark,Individual,,,,Party,UK Independence Party (UKIP),Political Party,AS0036777,Authorised Participant Security,960000,,Not specified,Ended,960000,,,2005-12-16,2008-05-02,2008-05-02,2006-03-31,
Individual,John Drage,Individual,,,,Party,Liberal Democrats,Political Party,AL0037049,Loan,140000,,Not specified,Ended,140000,,,2005-06-01,,2006-11-30,2006-04-30,Sutton Borough
Organisation,AIB Group Plc,Company,PO Box 4,BT1 3DJ,NI018800,Party,Conservative Party,Political Party,AL0036311,Credit Facility,250000000,,Base + 1%,Outstanding,,,250000000,2006-04-07,2014-12-31,,2006-06-30,
Organisation,Lloyds TSB,Company,25 Gresham Street,EC2V 7HN,2652402,Party,Conservative Party,Political Party,AL0036318,Credit Facility,3000000,,11.40%,Ended,3000000,,,2006-03-21,,2006-12-18,2005-10-10,Kingston & Surbiton
Organisation,HSBC Bank,Company,35 High Street,SL6 1JG,14259,Party,Conservative Party,Political Party,AL0036319,Credit Facility,500000,,Base + 2%,Outstanding,,,500000,2006-06-27,,,2006-06-30,Maidenhead
Individual,Ronald Ernest Lee,Individual,,,,Party,Conservative Party,Political Party,AL0036339,Loan,500000,,Nil,Outstanding,,,500000,2006-05-22,,,2006-06-30,Lewisham East
Organisation,Barclays Bank PLC,Company,83 Satchell Lane,SO31 4HH,1026167,Party,Conservative Party,Political Party,AL0036346,Credit Facility,500000,,Not specified,Ended,500000,,,2006-04-21,,2011-09-30,2006-06-30,Eastleigh
Organisation,HSBC Bank,Company,PO Box 377,SA7 9YH,14259,Party,Conservative Party,Political Party,AL0036347,Credit Facility,2000000,,Base +2.5%,Outstanding,,,2000000,2006-12-05,,,2006-12-31,Clwyd West
Individual,Robin Tilbrook,Individual,,,,Party,English Democrats,Political Party,AL0036377,Loan,5444700,,Nil,Outstanding,,,5444700,2006-09-10,,,2006-09-30,
Individual,Steve Uncles,Individual,,,,Party,English Democrats,Political Party,AL0036378,Loan,1700000,,Nil,Outstanding,,,1700000,2006-09-10,,,2006-09-30,
Organisation,Co-operative Bank,Company,PO Box 101,M60 4EP,990937,Party,Labour Party,Political Party,AL0036409,Loan,500000,,7.25%,Ended,500000,,,2006-02-01,2011-01-31,2011-01-31,2006-03-31,South Shields CLP
Organisation,HSBC Bank,Company,8 Canada Square,E14 5HQ,14259,Party,Labour Party,Political Party,AL0036416,Credit Facility,200000,,base + 2%,Outstanding,,,200000,2006-07-01,,,2006-09-30,Welwyn Hatfield CLP
Individual,Richard Caring,Individual,,,,Party,Labour Party,Political Party,AL0036421,Loan,200000000,,0% until 31/07/2010 then 6.5%,Outstanding,,,200000000,2006-06-25,2015-09-30,,2006-06-30,
Organisation,Royal Bank of Scotland,Company,36 St Andrew's Square,EH2 2YB,SC090312,Party,Labour Party,Political Party,AL0036424,Loan,675000,,Base + 3%,Ended,675000,,,2006-02-24,2010-09-24,2010-11-24,2006-03-31,Edinburgh South CLP DR
Organisation,Unity Trust Bank Plc,Company,9 Brindley Place,B1 2HB,1713124,Party,Labour Party,Political Party,AL0036430,Loan,2100000,,Base + 3%,Ended,2100000,,,2006-04-04,2013-04-04,2010-12-31,2006-06-30,Oxford East CLP DR
Organisation,Unity Trust Bank Plc,Company,9 Brindley Place,B1 2HB,1713124,Party,Labour Party,Political Party,AL0036433,Credit Facility,1200000,,base + 3%,Ended,1200000,,,2006-12-01,,2007-12-31,2006-12-31,Hyndburn CLP
Individual,Wally Protheroe,Individual,,,,Party,Liberal Democrats,Political Party,AS0036486,Authorised Participant Security,1000000,,Not specified,Outstanding,,,1000000,2006-01-01,,,2006-04-30,Newton Abbot
Organisation,Royal Bank of Scotland,Company,34 St Andrews Square,EH2 2XB,SC090312,Party,Liberal Democrats,Political Party,AL0036496,Credit Facility,100000000,,RBS base rate + 1.5%,Outstanding,,,100000000,2006-03-03,2012-12-31,,2006-04-30,
Individual,Dominic Mathon,Individual,,,,Party,Liberal Democrats,Political Party,AL0036497,Loan,700000,,Nil,Ended,,700000,,2006-04-01,2011-12-31,2011-01-29,2011-04-11,Islington Borough
Organisation,Barclays Bank plc,Company,54 Lombard Street,EC3P 3AH,1026167,Party,Liberal Democrats,Political Party,AL0036498,Credit Facility,750000,,Base rate + 4.5%,Outstanding,,,750000,2006-04-06,,,2011-04-11,Newton Abbot
Individual,Duncan Greenland,Individual,,,,Party,Liberal Democrats,Political Party,AS0036499,Authorised Participant Security,3000000,,Not specified,Outstanding,,,3000000,2006-04-27,,,2011-04-11,Camden Borough
Organisation,Smith & Williamson Investment Management,Company,25 Moorgate,EC2R 6AY,976145,Party,Liberal Democrats,Political Party,AL0036500,Credit Facility,1500000,,Base + 3%,Outstanding,,,1500000,2006-04-27,,,2011-04-11,Camden Borough
Organisation,HSBC Bank,Company,8 Canada Square,E14 5HQ,14259,Party,Plaid Cymru - The Party of Wales,Political Party,AL0036535,Credit Facility,30000000,,HSBC Base + 1.5%,Ended,30000000,,,2006-09-01,,2013-06-30,2006-09-30,
Organisation,Royal Bank of Scotland,Company,36 St Andrew's Square,EH2 2YB,SC090312,Party,Scottish National Party (SNP),Political Party,AL0036550,Loan,17000000,,Variable,Ended,17000000,,,2006-04-10,2011-04-10,2011-04-08,2006-06-30,
Organisation,Royal Bank of Scotland,Company,36 St Andrew's Square,EH2 2YB,SC090312,Party,Scottish National Party (SNP),Political Party,AL0036551,Credit Facility,10000000,,Variable,Ended,10000000,,,2006-04-10,,2011-09-02,2006-06-30,
Organisation,Royal Bank of Scotland,Company,12 Golden Square,AB10 1DU,SC090312,Party,Scottish National Party (SNP),Political Party,AL0036552,Loan,5295000,,7.50%,Ended,5295000,,,2006-06-06,2011-06-06,2011-06-27,2006-06-30,North East Scotland Liaison Committee
Individual,Michael R Johnson,Individual,,,,Party,Conservative Party,Political Party,AL0036584,Loan,500000,,6%,Ended,500000,,,2006-05-01,2008-12-31,2008-12-31,2006-06-30,New Forest East
Organisation,National Westminster Bank Plc,Company,225 High Street,LN2 1AZ,929027,Party,Conservative Party,Political Party,AL0036585,Credit Facility,350000,,base + 4%,Ended,350000,,,2006-09-15,2008-10-08,2008-10-08,2006-09-30,Lincoln
Individual,Nicola Blackman,Individual,,,,Party,Conservative Party,Political Party,AL0036588,Loan,350000,,Nil,Ended,350000,,,2006-08-25,2006-11-02,2006-11-02,2006-09-30,Brent South
Organisation,AIB Group Plc,Company,PO Box 4,BT1 3DJ,NI018800,Party,Conservative Party,Political Party,AL0036596,Loan,1565000000,,LIBOR + 0.5%,Ended,1565000000,,,2006-03-29,2007-03-09,2007-03-09,2005-10-10,
Individual,Lord Laidlaw of Rothiemay,Individual,,,,Party,Conservative Party,Political Party,AL0036598,Loan,250000000,,Base + 1%,Ended,,250000000,,2006-03-31,2007-11-13,2007-11-13,2005-10-10,
Organisation,Lanners Services Limited,Company,Road Town,,PaseaEstate,Party,Conservative Party,Political Party,AL0036599,Loan,360000000,,Base + 1%,Ended,360000000,,,2006-01-30,2007-03-09,2007-03-09,2005-10-10,
Organisation,Clydesdale Bank PLC,Company,James Street,HG1 1QU,SC001111,Party,Conservative Party,Political Party,AL0036602,Credit Facility,29000000,,Base + 2.5%,Ended,29000000,,,2006-01-24,2007-09-03,2007-09-03,2005-10-10,Harrogate & Knaresborough
Organisation,Clydesdale Bank PLC,Company,James Street,HG1 1QU,SC001111,Party,Conservative Party,Political Party,AL0036603,Credit Facility,1000000,,Base + 3%,Ended,1000000,,,2006-01-24,2007-09-03,2007-09-03,2005-10-10,Harrogate & Knaresborough
Individual,Roger Bale,Individual,,,,Party,Conservative Party,Political Party,AL0036606,Loan,188300,,Nil,Ended,188300,,,2006-07-03,2006-09-29,2006-09-29,2006-09-30,Reading East
Individual,Brian Tora,Individual,,,,Party,Conservative Party,Political Party,AL0036607,Loan,200000,,Nil,Ended,200000,,,2006-02-24,2007-12-03,2007-12-03,2005-10-10,Suffolk South
Individual,John Marnham,Individual,,,,Party,Conservative Party,Political Party,AL0036608,Loan,200000,,Nil,Ended,200000,,,2006-08-18,2006-09-27,2006-09-27,2006-09-30,East Surrey
Organisation,HSBC,Company,7 Conway Road,LL29 7AD,14259,Party,Conservative Party,Political Party,AL0036611,Credit Facility,200000,,Not specified,Outstanding,,,200000,2006-06-13,2006-08-31,,2006-06-30,Clwyd West
Individual,Kenneth Carter,Individual,,,,Party,Conservative Party,Political Party,AL0036612,Loan,700000,,Not specified,Ended,700000,,,2006-05-23,2006-07-05,2006-07-05,2006-06-30,
Individual,Richard Fuller,Individual,,,,Party,Conservative Party,Political Party,AL0036614,Loan,124700,,Not specified,Ended,124700,,,2006-12-01,2007-01-31,2007-01-31,2006-12-31,Bedford
Organisation,AIB Group Plc,Company,PO Box 4,BT1 3DJ,NI018800,Party,Conservative Party,Political Party,AS0036624,Authorised Participant Security,30000000,,Nil,Ended,30000000,,,2006-04-07,2007-12-31,2007-12-31,2006-06-30,
Individual,Dennis Peter Smith,Individual,,,,Party,Conservative Party,Political Party,AL0036626,Loan,340000,,Nil,Ended,340000,,,2006-07-06,2007-07-05,2007-07-05,2006-09-30,Tynemouth
Individual,Michael McIntyre,Individual,,,,Party,Conservative Party,Political Party,AL0036627,Loan,350000,,Nil,Ended,350000,,,2006-07-10,2007-07-09,2007-07-09,2006-09-30,Tynemouth
Organisation,Big Ben Films,Company,71 South Audley Street,W1K 1JA,384964,Party,Conservative Party,Political Party,AL0036632,Loan,260000000,,Base + 1%,Ended,260000000,,,2006-03-31,2009-07-20,2009-07-20,2005-10-10,
Individual,Christine Constable,Individual,,,,Party,English Democrats,Political Party,AL0036640,Loan,4000000,,Nil,Ended,,4000000,,2006-09-10,2009-11-01,2009-11-01,2006-09-30,
Individual,Alexandra Mayer,Individual,,,,Party,Labour Party,Political Party,AL0036641,Loan,290000,,Nil,Ended,290000,,,2006-10-01,2010-12-31,2010-12-31,2006-12-31,Cambridge CLP
Individual,Robert Evans,Individual,,,,Party,Labour Party,Political Party,AL0036645,Loan,500000,,Nil,Ended,500000,,,2006-03-23,2010-07-02,2010-07-02,2006-03-31,Cambridge CLP
Organisation,H G Wells Centre,Unincorporated Association,St Mark's Place,BR2 9HG,,Party,Labour Party,Political Party,AL0036647,Loan,200000,,Nil,Ended,200000,,,2006-05-01,2007-11-30,2007-11-30,2006-06-30,Orpington CLP
Individual,Andrew Harrop,Individual,,,,Party,Labour Party,Political Party,AL0036654,Loan,100000,,Nil,Ended,100000,,,2006-04-27,2007-03-31,2007-03-31,2006-06-30,Vauxhall CLP
Organisation,The Co-operative Bank Plc,Company,PO Box 101,M60 4EP,990937,Party,Labour Party,Political Party,AL0036656,Loan,122500000,,Co-op rate + 2%,Ended,122500000,,,2006-09-07,2007-03-23,2007-03-23,2006-09-30,
Organisation,Co-operative Bank,Company,PO Box 101,M60 4EP,990937,Party,Labour Party,Political Party,AL0036657,Credit Facility,1000000,,Base + 2%,Ended,1000000,,,2006-06-01,2006-07-31,2006-07-31,2006-03-31,Blaenau Gwent CLP
Individual,Paul McGlone,Individual,,,,Party,Labour Party,Political Party,AL0036661,Loan,200000,,Nil,Ended,200000,,,2006-04-27,2006-06-30,2006-06-30,2006-06-30,Vauxhall CLP
Individual,Pete Bowyer,Individual,,,,Party,Labour Party,Political Party,AL0036662,Loan,200000,,Nil,Ended,200000,,,2006-04-27,2007-03-30,2007-03-30,2006-06-30,Vauxhall CLP
Individual,Peter Carpenter,Individual,,,,Party,Labour Party,Political Party,AL0036663,Loan,600000,,Nil,Ended,600000,,,2006-06-02,2006-12-03,2006-12-03,2006-06-30,Wandsworth Local Campaign Forum
Individual,Samuel Townhend,Individual,,,,Party,Labour Party,Political Party,AL0036664,Loan,200000,,Nil,Ended,200000,,,2006-04-27,2007-03-30,2007-03-30,2006-06-30,Vauxhall CLP
Individual,Stephen Beer,Individual,,,,Party,Labour Party,Political Party,AL0036665,Loan,200000,,Nil,Ended,200000,,,2006-04-27,2007-03-30,2007-03-30,2006-06-30,Vauxhall CLP
Individual,David Simmons,Individual,,,,Party,Liberal Democrats,Political Party,AS0036697,Authorised Participant Security,750000,,Not specified,Ended,750000,,,2006-04-27,2010-02-20,2010-02-20,2011-04-11,Camden Borough
Individual,Steve Marshall,Individual,,,,Party,Liberal Democrats,Political Party,AL0036706,Loan,500000,,Nil,Ended,500000,,,2006-10-26,2007-11-12,2007-11-12,2006-12-31,Cambridge
Individual,Alan Reid,Individual,,,,Party,Liberal Democrats,Political Party,AL0036714,Loan,675000,,Nil,Ended,675000,,,2006-06-01,2007-06-02,2007-06-02,2011-04-11,Argyll & Bute
Individual,Arnie Gibbons,Individual,,,,Party,Liberal Democrats,Political Party,AL0036717,Loan,545000,,Nil,Ended,545000,,,2006-05-01,2007-03-31,2007-03-31,2011-04-11,Islington Borough
Individual,Anne Winstanley,Individual,,,,Party,Liberal Democrats,Political Party,AL0036718,Loan,250000,,Nil,Ended,250000,,,2006-06-01,2006-12-31,2006-12-31,2011-04-11,Eastleigh
Individual,Jayanti Patel,Individual,,,,Party,Liberal Democrats,Political Party,AL0036721,Loan,250000,,Nil,Ended,250000,,,2006-05-10,2006-10-09,2006-10-09,2011-04-11,Sutton Borough
Organisation,Barclays Bank Plc,Company,54 Lombard Street,EC3P 3AH,1026167,Party,Liberal Democrats,Political Party,AL0036725,Credit Facility,250000,,5.25%,Ended,250000,,,2006-04-06,2006-12-31,2006-12-31,2011-04-11,
Individual,Martin Hay,Individual,,,,Party,Liberal Democrats,Political Party,AL0036728,Loan,1200000,,Nil,Ended,1200000,,,2006-09-12,2008-03-25,2008-03-25,2006-09-30,Haringey Borough
Individual,Clive Searle,Individual,,,,Party,The Respect Party,Political Party,AL0036762,Loan,100000,,6.00,Ended,100000,,,2006-04-25,2008-12-30,2008-12-30,2006-06-30,
Individual,Angus Tulloch,Individual,,,,Party,Scottish National Party (SNP),Political Party,AL0036764,Loan,5000000,,Nil,Ended,,5000000,,2006-09-12,2010-04-02,2010-04-02,2006-09-30,
Individual,Stewart Stevenson,Individual,,,,Party,Scottish National Party (SNP),Political Party,AL0036765,Loan,1000000,,Nil,Ended,,1000000,,2006-09-12,2010-03-24,2010-03-24,2006-09-30,
Organisation,National Westminster Bank,Company,57 Victoria Street,SW1H 0HN,929027,Organisation,Harriet Harman,Regulated Donee,AL0037056,Credit Facility,1000000,,14.17,Ended,1000000,,,2006-10-03,,2007-12-18,2007-12-17,
Individual,Ken Melling,Individual,,,,Party,Conservative Party,Political Party,AL0036338,Loan,1000000,,Variable 3% over base,Outstanding,,,1000000,2007-12-07,2015-12-31,,2011-04-11,Daventry
Organisation,Barclays Bank PLC,Company,Barrow in Furness,,1026167,Party,Conservative Party,Political Party,AL0036349,Credit Facility,200000,,Base + 3%,Outstanding,,,200000,2007-10-02,2019-04-01,,2011-04-11,Barrow & Furness
Organisation,B&D Glassmasters Ltd,Company,65 Butts Green Road,RM11 2JS,2735500,Party,Conservative Party,Political Party,AL0036351,Loan,986000,,Nil,Ended,986000,,,2007-01-01,2007-12-31,2007-04-10,2007-03-31,Romford
Organisation,Yorkshire Bank,Company,James Street,HG1 1QU,117413,Party,Conservative Party,Political Party,AL0036352,Loan,31000000,,7.25%,Ended,31000000,,,2007-09-03,2032-09-03,2013-08-15,2011-04-11,Harrogate & Knaresborough
Organisation,Panacea Finance Ltd,Company,21 St. Thomas Street,BS1 6JS,4307838,Party,Conservative Party,Political Party,AL0036353,Loan,7541700,,RBS base +2%,Outstanding,,,7541700,2007-09-29,2022-12-31,,2011-04-11,Thornbury and Yate
Individual,Malcolm Armstrong,Individual,,,,Party,Conservative Party,Political Party,AL0036354,Loan,200000,,Nil,Ended,200000,,,2007-09-18,,2009-10-11,2011-04-11,South Thanet
Individual,Gerald Bass,Individual,,,,Party,Labour Party,Political Party,AL0036434,Loan,250000,,Nil,Ended,250000,,,2007-10-02,,2012-06-22,2011-04-11,South West Norfolk CLP
Individual,Dan Neidle,Individual,,,,Party,Labour Party,Political Party,AL0036435,Loan,200000,,Nil,Ended,200000,,,2007-11-01,,2008-12-31,2011-04-11,Islington South and Finsbury CLP
Individual,Jackie Porter,Individual,,,,Party,Liberal Democrats,Political Party,AL0036501,Loan,300000,,Nil,Outstanding,,,300000,2007-02-21,,,2011-04-11,Winchester
Organisation,Bank of Scotland (HBOS),Company,The Mound,EH1 1YZ,SC218813,Party,Liberal Democrats,Political Party,AL0036502,Credit Facility,500000,,Base rate + 3%,Outstanding,,,500000,2007-03-26,2009-01-31,,2011-04-11,Edinburgh South
Individual,Malcolm Lynn,Individual,,,,Party,Liberal Democrats,Political Party,AL0036503,Loan,140000,,nil,Outstanding,,,140000,2007-04-04,,,2007-06-30,Beverley & Holderness
Organisation,Lloyds TSB,Company,25 Gresham Street,EC2V 7HV,2652402,Party,Liberal Democrats,Political Party,AL0036504,Credit Facility,250000,,Not specified,Outstanding,,,250000,2007-04-27,2011-07-31,,2007-06-30,South East Cornwall
Individual,Ben Prescott,Individual,,,,Party,Liberal Democrats,Political Party,AL0036505,Loan,100000,,nil,Outstanding,,,100000,2007-06-04,,,2007-06-30,Bournemouth
Individual,Emily Gasson,Individual,,,,Party,Liberal Democrats,Political Party,AL0036506,Loan,125000,,Nil,Ended,,125000,,2007-06-22,,2011-05-01,2007-06-30,North Dorset
Organisation,Barclays Bank Plc,Company,54 Lombard Street,EC3P 3AH,1026167,Party,Liberal Democrats,Political Party,AL0036507,Loan,6350000,,8.25%,Outstanding,,,6350000,2007-10-01,2032-12-05,,2011-04-11,Eastbourne
Individual,Andrew Horsler,Individual,,,,Party,Liberal Democrats,Political Party,AL0036508,Loan,268075,,Nil,Ended,,268075,,2007-10-01,,2011-01-31,2011-04-11,Twickenham & Richmond
Individual,Chris Huhne,Individual,,,,Party,Liberal Democrats,Political Party,AL0036509,Loan,500000,,Nil,Ended,500000,,,2007-10-30,2012-10-30,2011-11-28,2011-04-11,Eastleigh
Individual,David Simmons,Individual,,,,Party,Liberal Democrats,Political Party,AL0036510,Loan,386000,,Nil,Outstanding,,,386000,2007-11-30,,,2011-04-11,Camden Borough
Individual,Idris Jones,Individual,,,,Party,Plaid Cymru - The Party of Wales,Political Party,AL0036537,Loan,101300,,Nil,Outstanding,,,101300,2007-05-19,,,2007-06-30,Ynys Mon
Individual,Mair Owen,Individual,,,,Party,Plaid Cymru - The Party of Wales,Political Party,AL0036538,Loan,200000,,nil,Outstanding,,,200000,2007-06-01,,,2007-06-30,Ynys Mon
Organisation,Royal Bank of Scotland,Company,26 St Andrews Square,EH2 2YB,SC090312,Party,The Progressive Party [De-registered 05/11/13],Political Party,AL0036539,Loan,10000000,,Base + 3%,Outstanding,,,10000000,2007-03-21,2008-03-21,,2007-03-31,
Organisation,Royal Bank of Scotland,Company,26 St Andrews Square,EH2 2YB,SC090312,Party,The Progressive Party [De-registered 05/11/13],Political Party,AL0036540,Credit Facility,500000,,Base + 3%,Outstanding,,,500000,2007-03-21,2008-03-21,,2007-03-31,
Individual,Robert Durward,Individual,,,,Party,The Progressive Party [De-registered 05/11/13],Political Party,AS0036541,Authorised Participant Security,10500000,,Not specified,Outstanding,,,10500000,2007-03-21,2008-03-21,,2007-03-31,
Organisation,Royal Bank of Scotland,Company,12 Golden Square,AB10 1DU,SC090312,Party,Scottish National Party (SNP),Political Party,AL0036553,Loan,10000000,,8.00%,Outstanding,,,10000000,2007-10-31,2017-10-31,,2007-12-31,North East Scotland Liaison Committee
Organisation,Keir & Cawder Estates Ltd,Company,Craigarnhall,FK9 4NG,SC12241,Party,Scottish Voice,Political Party,AL0036558,Loan,15000000,,Nil,Outstanding,,,15000000,2007-04-01,,,2007-06-30,
Individual,Gordon Morgan,Individual,,,,Party,Solidarity - Scotland's Socialist Movement,Political Party,AL0036560,Loan,1350000,,Nil,Ended,1350000,,,2007-04-05,2013-01-01,,2007-06-30,
Individual,Francis Joseph Branston,Individual,,,,Party,Better Bedford Independent Party [De-registered 20/09/11],Political Party,AL0036562,Loan,700000,,Nil,Ended,662400,37600,,2007-03-03,2008-08-21,2008-08-21,2007-03-31,
Individual,Francis Joseph Branston,Individual,,,,Party,Better Bedford Independent Party [De-registered 20/09/11],Political Party,AL0036563,Loan,1300000,,Nil,Ended,,1300000,,2007-03-07,2008-08-21,2008-08-21,2007-03-31,
Individual,Francis Joseph Branston,Individual,,,,Party,Better Bedford Independent Party [De-registered 20/09/11],Political Party,AL0036564,Loan,1430000,,Nil,Ended,,1430000,,2007-03-22,2008-08-21,2008-08-21,2007-03-31,
Individual,Fiedrich Ewald Topham,Individual,,,,Party,Conservative Party,Political Party,AL0036587,Loan,200000,,Nil,Ended,200000,,,2007-04-05,2009-12-30,2009-12-30,2011-04-11,Thurrock
Organisation,Knole Club,Unincorporated Association,The Mount House,TN16 1JB,,Party,Conservative Party,Political Party,AL0036589,Loan,800000,,Base + 0.50%,Ended,800000,,,2007-05-11,2008-06-28,2008-06-28,2011-04-11,Sevenoaks
Individual,Dorothy Turner,Individual,,,,Party,Conservative Party,Political Party,AL0036615,Loan,104500,,Base + 1.00%,Ended,104500,,,2007-05-31,2007-12-18,2007-12-18,2011-04-11,South Wales Central
Individual,Gareth Neale,Individual,,,,Party,Conservative Party,Political Party,AL0036616,Loan,104500,,Base + 1.00%,Ended,104500,,,2007-05-31,2007-12-18,2007-12-18,2011-04-11,South Wales Central
Individual,Basil Course,Individual,,,,Party,Conservative Party,Political Party,AL0036617,Loan,155000,,Base + 0.50%,Ended,155000,,,2007-05-08,2007-12-21,2007-12-21,2011-04-11,Sevenoaks
Individual,Keith Weddle,Individual,,,,Party,Conservative Party,Political Party,AL0036618,Loan,200000,,Base + 0.50%,Ended,200000,,,2007-05-11,2007-12-21,2007-12-21,2011-04-11,Sevenoaks
Organisation,Prestopans (Trading) Ltd,Company,9 - 11 Blair Street,EH1 1QR,SC028156,Party,Conservative Party,Political Party,AL0036619,Loan,216166,,Nil,Ended,216166,,,2007-11-29,2007-12-18,2007-12-18,2011-04-11,Scotland Region
Organisation,Prestopans (Trading) Ltd,Company,9 - 11 Blair Street,EH1 1QR,SC028156,Party,Conservative Party,Political Party,AL0036620,Loan,1585484,,Nil,Ended,1585484,,,2007-12-18,2007-12-21,2007-12-21,2011-04-11,Scotland Region
Organisation,Broughton Road Conservative Committee,Unincorporated Association,39 Broughton Road,W13 8QW,,Party,Conservative Party,Political Party,AL0036621,Loan,800000,,Nil,Ended,800000,,,2007-11-21,2007-12-21,2007-12-21,2011-04-11,Ealing Central and Acton
Individual,Michael Jones Pritchard,Individual,,,,Party,Conservative Party,Political Party,AL0036622,Loan,65315,,Nil,Ended,65315,,,2007-09-01,2007-10-24,2007-10-24,2011-04-11,Cardiff North
Individual,Michael Jones Pritchard,Individual,,,,Party,Conservative Party,Political Party,AL0036623,Loan,420790,,Nil,Ended,420790,,,2007-05-01,2007-08-06,2007-08-06,2011-04-11,Cardiff North
Individual,Yvonne Constance,Individual,,,,Party,Conservative Party,Political Party,AL0036628,Loan,300000,,free to 31 July and thereafter at 5.5%,Ended,300000,,,2007-07-04,2007-09-30,2007-09-30,2011-04-11,Wantage
Individual,Pamela Wilkie,Individual,,,,Party,Conservative Party,Political Party,AL0036629,Loan,250000,,Nil,Ended,250000,,,2007-06-01,2007-07-23,2007-07-23,2011-04-11,Telford
Individual,Alexandra Mayer,Individual,,,,Party,Labour Party,Political Party,AL0036642,Loan,150000,,Nil,Ended,150000,,,2007-03-01,2010-12-31,2010-12-31,2007-03-31,Cambridge CLP
Individual,James Thomson,Individual,,,,Party,Labour Party,Political Party,AL0036649,Loan,200000,,Nil,Ended,200000,,,2007-03-27,2007-06-26,2007-06-26,2007-03-31,Ochil and South Perthshire CLP DR
Individual,Michael Smith,Individual,,,,Party,Labour Party,Political Party,AL0036659,Loan,250000,,Nil,Ended,250000,,,2007-07-01,2007-09-24,2007-09-24,2007-09-30,Tower Hamlets Borough Party
